序号,品名,价格
1,百乐红酒,15
2,百乐酸奶,15
3,百乐哈密瓜,15
4,百乐蓝莓,16
5,百乐柠檬,15
6,百乐苹果,断
7,百乐橙子,15
8,百乐青柠,15
9,百乐西瓜,15
10,百乐凤梨,15
11,百乐椰子,断
12,百乐子弹,断
13,百乐榴莲,断
14,百乐双爆,16
15,细百乐冰川,断
16,细百乐可乐,12
17,细百乐红茶,断
18,细百乐柚茶,断
19,细百乐姜茶,断
20,铁塔猫红酒,16
21,铁塔猫酸奶,16
22,铁塔猫日月,18
23,铁塔猫象迷,17
24,铁塔猫香蕉,17
25,铁塔猫糖果,16
26,铁塔猫彩虹芒果,断
27,铁塔猫烟花咖啡,断
28,铁塔猫烟花苹果,断
29,铁塔猫苹果,断
30,铁塔猫柑橘,断
31,铁塔猫细日月,断
32,铁塔猫细糖果,16
33,铁塔猫细烟花,16
34,铁塔猫细芒果,16
35,铁塔猫星空香蕉,断
36,铁塔猫星空菠萝,15
37,铁塔猫星空芒果,断
38,铁塔猫星空威士忌,断
39,铁塔猫星空大象,断
40,铁塔猫星空西瓜,断
41,铁塔猫蜂蜜柚子,断
42,铁塔猫酸奶双爆,断
43,铁塔猫奶油咖啡,断
44,铁塔猫橙子咖啡,断
45,铁塔猫水蜜桃,16
46,爱喜爆,14
47,爱喜橙子双爆,15
48,爱喜葡萄双爆,15
49,老爱喜红酒双爆,16
50,爱喜冰淇淋爆,17
51,爱喜1毫克爆,15
52,爱喜五味爆,断
53,爱喜冰菠萝爆,15
54,爱喜冰桃爆,15
55,爱喜咖啡爆,16
56,爱喜芒果单爆,断
57,爱喜草莓单爆,15
58,爱喜青柠双爆,15
59,爱喜苹果双爆,15
60,爱喜芒果双爆,15
61,绿爱喜,14
62,爱喜香草,14
63,爱喜纯竹,断
64,爱喜中支芝士,15
65,爱喜中支冰雪,15
66,爱喜朱古力橙,16
67,爱喜香芋柠檬,17
68,爱喜棒棒糖,16
69,爱喜冰咖啡,断
70,爱喜可乐爆,16
71,爱喜喜马拉雅,16
72,爱喜冰川爆,断
73,粗520哈密瓜,15
74,粗520草莓,15
75,粗520蓝莓,断
76,公版盒中,15
77,公版软中,15
78,八角中,15
79,6毫克细中,17
80,公版细金中,13
81,关税细金中,12
82,双开中,14
83,宝恒树叶爆,14
84,宝恒树叶双爆,22
85,宝恒树叶荔枝爆,20
86,宝恒细树叶爆,12
87,宝恒树叶53度爆,15
88,中支爆珠阿里,16
89,桂花阿里山,16
90,茉莉阿里山,16
91,蜂王浆阿里山,15
92,香橙爆珠阿里,16
93,哈密瓜爆珠阿里,16
94,薰衣草阿里山,16
95,青柠可乐阿里,17
96,红酒阿里山,17
97,香芋冰淇淋阿里山,17
98,嘉年华小苹果,12
99,嘉年华中苹果,12
100,嘉年华小双芒果,12
101,蓝星甜嘴,断
102,蓝星蓝莓双爆,17
103,蓝星蓝莓单爆,断
104,蓝星酸奶爆,17
105,蓝星柠乐爆,17
106,蓝星芭乐爆,17
107,蓝星西柚爆,17
108,蓝星水蜜桃,断
109,蓝星香芋爆,断
110,关税七星蓝莓,15
111,方七星蓝莓,22
112,中支七星蓝莓,16
113,米兰双爆葡萄,13
114,米兰双爆哈密瓜,13
115,历风芭乐,17
116,嘉年华柠檬,14
117,女神红酒,16
118,女神酸奶,16
119,女神百香果,16
120,女神荔枝,16
121,绿米兰,10
122,白米兰,10
123,乌米兰,10
124,二代乌米兰,10
125,米兰双爆芒果,13
126,米兰双爆蓝莓,13
127,米兰双爆酸奶,13
128,米兰双爆西瓜,13
129,历风薄荷,15
130,历风酸奶,16
131,马尔斯哈密瓜,17
132,黄船长,16
133,日冕黑魔鬼,17
134,南京炫赫门,12
135,樱花炫赫门,10
136,南京雨花石,13
137,历风青提,17
138,公版十二钗,12
139,授权盒荷花,15
140,公版盒荷花,15
141,3克黑荷花,16
142,小荷花,13
143,中支荷花,15
144,细支芙蓉王,14
145,硬阳光利群,15
146,软阳光利群,14
147,江南韵利群,16
148,公版芙蓉王,13
149,中支白芙蓉王,断
150,中支乌芙蓉王,16
151,西子阳光利群,13
152,方红万宝,23
153,软白七星王,15
154,细支大苏,11
155,2000鬼,16
156,细支茅台,13
157,小天润,11
158,软1916,20
159,细支1916,18
160,细支和天下,17
161,相和天下,18
162,中支和天下,17
163,口红8度楼,16
164,口红葡萄果韵楼,16
165,口红蓝莓果韵楼,16
166,口红草莓黄鹤搂,16
167,口红果韵黄鹤搂,16
168,西瓜玉溪,16
169,粗大叶,18
170,汇通天下,15
171,软玉溪,13
172,合珍楼,15
173,软珍楼,15
174,细芙蓉王西瓜,16
175,贵烟陈皮,13
